ID,RANK_DESIGNATION,CADRE,GL
1,DIRECTOR OF FINANCE,ACCOUNTANT,15
2,ACCOUNTANT II,ACCOUNTANT,08
3,BURSAR,ACCOUNTANT,15
4,ASSISTANT CHIEF ACCOUNTANT,ACCOUNTANT,13
5,CHIEF ACCOUNTANT,ACCOUNTANT,14
6,PRINCIPAL ACCOUNTANT,ACCOUNTANT,12
7,SENIOR ACCOUNTANT,ACCOUNTANT,11
8,CHIEF GROUNDSMAN,ARTISAN/CRAFTSMAN,06
9,CRAFTSMAN,ARTISAN/CRAFTSMAN,04
10,FOREMAN,ARTISAN/CRAFTSMAN,06
11,SENIOR CRAFTSMAN,ARTISAN/CRAFTSMAN,05
12,SENIOR FOREMAN,ARTISAN/CRAFTSMAN,07
13,ASSISTANT CHIEF INTERNAL AUDITOR,INTERNAL AUDITOR,13
14,CHIEF INTERNAL AUDITOR,INTERNAL AUDITOR,14
15,PRINCIPAL INTERNAL AUDITOR,INTERNAL AUDITOR,12
16,ASSISTANT CHIEF CLERICAL OFFICER,CLERICAL OFFICER,06
17,CHIEF CLERICAL OFFICER,CLERICAL OFFICER,07
18,CLERICAL OFFICER,CLERICAL OFFICER,04
19,SENIOR CLERICAL OFFICER,CLERICAL OFFICER,05
20,CHIEF DATA PROCESSING ASSISTANT,DATA PROCESSING ASSISTANT,07
21,PRINCIPAL DATA PROCESSING ASSISTANT,DATA PROCESSING ASSISTANT,06
22,SENIOR DATA PROCESSING ASSISTANT,DATA PROCESSING ASSISTANT,05
23,DIRECTOR (SPECIAL DUTIES),REGISTRAR,15
24,CHIEF ENGINEER,ENGINEER,14
25,ENGINEER I,ENGINEER,09
26,PRINCIPAL ENGINEER,ENGINEER,12
27,ASSISTANT CHIEF EXECUTIVE OFFICER,EXECUTIVE OFFICER,13
28,ASSISTANT EXECUTIVE OFFICER,EXECUTIVE OFFICER,06
29,CHIEF EXECUTIVE OFFICER,EXECUTIVE OFFICER,14
30,EXECUTIVE OFFICER,EXECUTIVE OFFICER,07
33,HIGHER EXECUTIVE OFFICER,EXECUTIVE OFFICER,08
34,PRINCIPAL EXECUTIVE OFFICER I,EXECUTIVE OFFICER,12
35,PRINCIPAL EXECUTIVE OFFICER II,EXECUTIVE OFFICER,11
36,SENIOR EXECUTIVE OFFICER,EXECUTIVE OFFICER,09
37,ASSISTANT CHIEF FIRE SUPERINTENDENT,FIRE SUPERINTENDENT,13
38,ASSISTANT FIRE SUPERINTENDENT,FIRE SUPERINTENDENT,06
39,PRINCIPAL FIRE SUPERINTENDENT I,FIRE SUPERINTENDENT,12
40,SENIOR FIRE SUPERINTENDENT,FIRE SUPERINTENDENT,09
41,CHIEF FIREMAN,FIREMAN/FIRE TECHNICIAN,07
42,SENIOR FIREMAN,FIREMAN/FIRE TECHNICIAN,06
43,CHIEF HEALTH ASSISTANT,HEALTH ASSISTANT,07
44,PRINCIPAL HEALTH ASSISTANT,HEALTH ASSISTANT,06
45,CHIEF LABORATORY ASSISTANT,LABORATORY ASSISTANT,07
46,LABORATORY SUPERVISOR,LABORATORY ASSISTANT,06
47,PRINCIPAL LABORATORY ASSISTANT,LABORATORY ASSISTANT,06
48,SENIOR LABORATORY ASSISTANT,LABORATORY ASSISTANT,05
49,SENIOR LABORATORY SUPERVISOR,LABORATORY ASSISTANT,07
50,ASSISTANT LABORATORY TECHNICIAN,LABORATORY TECHNICIAN,06
51,ASSISTANT TECHNICIAN,LABORATORY TECHNICIAN,06
52,HIGHER LABORATORY TECHNICIAN,LABORATORY TECHNICIAN,08
53,HIGHER TECHNICIAN,LABORATORY TECHNICIAN,08
54,LABORATORY TECHNICIAN,LABORATORY TECHNICIAN,07
55,PRINCIPAL LABORATORY TECHNICIAN,LABORATORY TECHNICIAN,11
56,PRINCIPAL TECHNICIAN I,LABORATORY TECHNICIAN,12
57,SENIOR LABORATORY TECHNICIAN,LABORATORY TECHNICIAN,09
58,TECHNICIAN,LABORATORY TECHNICIAN,07
